Timestamp;power_now;chassis_power
47767;5.993768E+000;4.858138E+000
47794;5.994428E+000;4.901473E+000
47820;5.993623E+000;4.892754E+000
47846;5.993803E+000;4.810233E+000
47872;5.993402E+000;4.855450E+000
47899;5.993458E+000;4.858620E+000
47926;5.993705E+000;4.848923E+000
47952;5.992693E+000;4.814638E+000
47978;5.992536E+000;4.879434E+000
48005;5.992708E+000;4.840343E+000
48031;5.993356E+000;4.858837E+000
48057;5.993250E+000;4.852325E+000
48084;5.993433E+000;4.810367E+000
48111;5.992935E+000;4.813750E+000
48138;5.994520E+000;4.855666E+000
48165;5.993355E+000;4.850029E+000
48192;5.994439E+000;4.867912E+000
48218;5.993264E+000;4.875170E+000
48245;5.994541E+000;4.842694E+000
48271;5.993298E+000;4.810997E+000
48297;5.993448E+000;4.770376E+000
48323;5.993904E+000;4.847955E+000
48349;5.996512E+000;4.878294E+000
48375;5.993486E+000;4.837237E+000
48402;5.993226E+000;4.763978E+000
48428;5.993010E+000;4.813137E+000
48454;5.992933E+000;4.949834E+000
48480;5.993526E+000;4.802089E+000
48507;5.993720E+000;4.798341E+000
48533;5.993612E+000;4.853096E+000
48559;5.993431E+000;4.824303E+000
48584;5.993468E+000;4.851895E+000
48610;5.994875E+000;4.814510E+000
48636;5.993737E+000;4.836604E+000
48662;5.993032E+000;4.776860E+000
48688;5.993713E+000;4.856138E+000
48713;5.993614E+000;4.860076E+000
48739;5.993022E+000;4.852959E+000
48765;5.993400E+000;4.729870E+000
48791;5.993737E+000;4.773190E+000
48817;5.993129E+000;4.826305E+000
48844;5.993276E+000;4.839080E+000
48871;5.994637E+000;4.809331E+000
48897;5.993184E+000;4.832734E+000
48923;5.992852E+000;4.881886E+000
48949;5.992899E+000;4.822529E+000
48975;5.994879E+000;4.838536E+000
49000;5.994237E+000;4.886346E+000
49026;5.993092E+000;4.803133E+000
49052;5.993154E+000;4.827054E+000
49077;5.993413E+000;4.829282E+000
49104;5.995326E+000;4.849646E+000
49131;5.992833E+000;4.803717E+000
49157;5.993803E+000;4.880239E+000
49184;5.993706E+000;4.854921E+000
49209;5.993104E+000;4.822293E+000
49236;5.994639E+000;4.878258E+000
49262;5.993536E+000;4.848644E+000
49289;5.993747E+000;4.810042E+000
49318;5.993258E+000;4.888050E+000
49348;5.995126E+000;4.844390E+000
49377;5.993331E+000;4.831538E+000
49405;5.993407E+000;4.847209E+000
49435;5.993624E+000;4.768670E+000
49473;5.994664E+000;4.859659E+000
49510;5.993973E+000;4.815061E+000
49542;5.994658E+000;4.837778E+000
49576;5.992905E+000;4.806852E+000
49606;5.993250E+000;4.878526E+000
49639;5.997541E+000;4.805085E+000
49668;5.994143E+000;4.840551E+000
49706;5.993619E+000;4.853813E+000
49744;5.993246E+000;4.829429E+000
49773;5.993777E+000;4.766240E+000
49806;5.998546E+000;4.886548E+000
